dataset,sweep,model,config,roc_mean,roc_std,pr_mean,pr_std,time_mean,time_std
spambase,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.4801190548731028,0.005797761319982294,0.37898651253640986,0.003120694091980231,0.050794029235839845,0.0024363606816897787
spambase,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.4964625204069762,0.001852637672139115,0.38013176203608146,0.00086380346702059,0.12508461475372315,0.0014626985674672719
spambase,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.4957344176958852,0.0017158379604461271,0.3808990417982169,0.0009599074123283877,0.12568235397338867,0.003206160503662394
spambase,Scoring_metric,IF,IF_score_depth,0.6402774359579032,0.004332167363946707,0.488378368315349,0.004888974370935437,0.01667332649230957,0.0003845468775987359
spambase,Scoring_metric,IF,IF_score_density,0.7089429839173639,0.005535095206012044,0.5469803455991391,0.007484756755940605,0.016614389419555665,0.0001681725565318995
satellite,IF_depth_and_trees,IF,IF_t100_d8,0.6928670719501797,0.006012183009755137,0.6410304128589641,0.0023807953092210557,0.027946066856384278,0.0004788211324483128
satellite,IF_depth_and_trees,IF,IF_t200_d8,0.6871747731557136,0.003013013942451439,0.6380581043223165,0.0011734097292836038,0.061045384407043456,0.0007322924365000331
satellite,IF_depth_and_trees,IF,IF_t100_dNone,0.6954844510562546,0.0024236888937040906,0.6409574241137782,0.0019968061312031706,0.08355503082275391,0.002157299024575862
satellite,IF_depth_and_trees,IF,IF_t200_dNone,0.705298991867682,0.0008487715345997319,0.6603205275674574,0.0008411666302017795,0.1747119903564453,0.003342452807850733
satellite,IF_sample_size,IF,IF_s64,0.6768392173431093,0.0016791471884114477,0.6647876972478443,0.002026067696503685,0.029824233055114745,0.000711892329780914
satellite,IF_sample_size,IF,IF_s128,0.7010875507069609,0.006220922081498324,0.6830279920842166,0.003922127269477102,0.029682111740112305,0.0005334997008991008
satellite,IF_sample_size,IF,IF_s256,0.6928670719501797,0.006012183009755137,0.6410304128589641,0.0023807953092210557,0.028705453872680663,0.000499094478872472
satellite,IF_sample_size,IF,IF_s512,0.6965729731395465,0.002763959439865025,0.6480740115274052,0.003186171800066168,0.02837204933166504,0.0002936595163913485
satellite,Split_geometry_ndim,IF,ndim1_random,0.6928670719501797,0.006012183009755137,0.6410304128589641,0.0023807953092210557,0.028543639183044433,0.0005349972884790168
satellite,Split_geometry_ndim,EIF,ndim2_random,0.6949405696329448,0.0027651111338176143,0.6490372468105965,0.002774504908192515,0.09099092483520507,0.014870233087298559
satellite,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.8172892370162712,0.0006164950340252459,0.72668059486713,0.0010702755909515985,0.12153637409210205,0.002773983361181404
satellite,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.8246342433157027,0.0004987630132324915,0.7355572562564778,0.0008881416561697484,0.25632452964782715,0.006110426039926986
satellite,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.8372893955627528,0.0005956502584584571,0.7659916106901513,0.0013069766875080106,0.19131162166595458,0.015716004081928338
satellite,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.8138807500454426,0.0008285315603797876,0.7020306381336796,0.001924191413467045,0.4022712469100952,0.026652905661342558
satellite,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.6116379090890008,0.0038604485114635857,0.6162809005168277,0.0029902808869216014,0.08131558895111084,0.002444300305396893
satellite,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.608186095384243,0.005055958204521246,0.5889641309360776,0.003088771379569828,0.2098552942276001,0.0016551719863639326
satellite,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.610402954815146,0.004918500085511849,0.5910498520808585,0.003133263462426756,0.2099301338195801,0.0006658560957887318
satellite,Scoring_metric,IF,IF_score_depth,0.6928670719501797,0.006012183009755137,0.6410304128589641,0.0023807953092210557,0.02776830196380615,0.0007511634312205216
satellite,Scoring_metric,IF,IF_score_density,0.8323585553244597,0.002007203927073778,0.7573837419851692,0.0020106768795731286,0.028759407997131347,0.00037288813715711996
pendigits,IF_depth_and_trees,IF,IF_t100_d8,0.9586523185383775,0.002474137036762279,0.2958377561296834,0.010555551384368653,0.03360328674316406,0.0006323315710495024
pendigits,IF_depth_and_trees,IF,IF_t200_d8,0.9624922664466901,0.00064081175851817,0.3134346371974682,0.0030218442561597975,0.0721651554107666,0.0009234868212686856
pendigits,IF_depth_and_trees,IF,IF_t100_dNone,0.9464846226407888,0.0032703386684832685,0.2741274784017163,0.011722578032571908,0.08129527568817138,0.0020353032983254147
pendigits,IF_depth_and_trees,IF,IF_t200_dNone,0.9500465445338099,0.0010153763009301034,0.27652733557637416,0.005888551405458807,0.16633622646331786,0.005347390056837332
pendigits,IF_sample_size,IF,IF_s64,0.9200889072202745,0.0032091190504895703,0.21572773039838186,0.006348738765361539,0.036340975761413576,0.00027492659195323664
pendigits,IF_sample_size,IF,IF_s128,0.9400792832428222,0.0007072687946543152,0.27215544126598595,0.011986730072934127,0.03411743640899658,0.0007898875924052329
pendigits,IF_sample_size,IF,IF_s256,0.9586523185383775,0.002474137036762279,0.2958377561296834,0.010555551384368653,0.03288724422454834,0.0008613233439868582
pendigits,IF_sample_size,IF,IF_s512,0.9416386922083972,0.0011494413499977072,0.2675213824702459,0.005842573657096751,0.03249185085296631,0.0009237314981874791
pendigits,Split_geometry_ndim,IF,ndim1_random,0.9586523185383775,0.002474137036762279,0.2958377561296834,0.010555551384368653,0.033170223236083984,0.0011228328336383739
pendigits,Split_geometry_ndim,EIF,ndim2_random,0.9510789739006897,0.0015538376976254157,0.22124443015959452,0.0060264415510746325,0.09321868419647217,0.0020576193762397114
pendigits,FCF_trees_and_samplesize,FCF,FCF_t100_s256,0.9640159196627026,0.002162870435969176,0.24443820106328137,0.010499092604605425,0.13310744762420654,0.01702300002287465
pendigits,FCF_trees_and_samplesize,FCF,FCF_t200_s256,0.961129585710685,0.0007104192520991425,0.22953430561508853,0.001587678851183451,0.25385026931762694,0.008957174758359216
pendigits,FCF_trees_and_samplesize,FCF,FCF_t200_s128,0.9666599833489913,0.0009149249283363168,0.27413180324812103,0.0029017249945200783,0.19976227283477782,0.0023796437678772924
pendigits,FCF_trees_and_samplesize,FCF,FCF_t200_s512,0.9500899383607159,0.0007465219991721,0.19379235186839477,0.0021300259192857125,0.4170447826385498,0.00730585877517123
pendigits,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry1_pen0,0.9587941958250269,0.0010269620671212807,0.23468195560974453,0.004970856786304863,0.09596409797668456,0.002255072362647429
pendigits,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen0,0.9767501699472207,0.0008246591758183704,0.4976931489602503,0.011432262977100314,0.18858461380004882,0.0003834116176444901
pendigits,SCiF_ntry_and_range_penalty,SCiF,SCiF_ntry10_pen1,0.9764494206518334,0.0008426258210483641,0.43819838594216237,0.008176505237341019,0.18895936012268066,0.0006819308033077773
pendigits,Scoring_metric,IF,IF_score_depth,0.9586523185383775,0.002474137036762279,0.2958377561296834,0.010555551384368653,0.032406949996948244,0.0006037010602670592
pendigits,Scoring_metric,IF,IF_score_density,0.9492934778457567,0.0010631115612111223,0.26292231647313924,0.0033186410285201834,0.03249146938323975,0.0003173397224732909
annthyroid,IF_depth_and_trees,IF,IF_t100_d8,0.7962842070723927,0.0036670930733017255,0.2754587542684318,0.003449976218347987,0.029608964920043945,0.0008395610245681089
annthyroid,IF_depth_and_trees,IF,IF_t200_d8,0.8080930564966609,0.0018674238736810296,0.2939255805332085,0.0023961852874933576,0.06472008228302002,0.0015511696756425502
annthyroid,IF_depth_and_trees,IF,IF_t100_dNone,0.8351006589422987,0.0016674307634321817,0.2982944366727751,0.0013197840653229658,0.11140687465667724,0.003212921217530621
annthyroid,IF_depth_and_trees,IF,IF_t200_dNone,0.8333759218618491,0.0011297045133887918,0.30745922873882303,0.002143581186023608,0.22034664154052735,0.0060912555142910284
annthyroid,IF_sample_size,IF,IF_s64,0.8353845918299696,0.003633216321368691,0.32622485774701343,0.004132908520021069,0.03284130096435547,0.0006249255609927232
annthyroid,IF_sample_size,IF,IF_s128,0.851895133333558,0.0024688552307197105,0.35290814798530223,0.003391268183552977,0.031354975700378415,0.0007315627386536991
